"","Accession","Description"
"838","cRAP049","Keratin, type I cuticular Ha3-I OS=Homo sapiens GN=KRT33A PE=2 SV=2"
"839","P48962","ADP/ATP translocase 1 OS=Mus musculus OX=10090 GN=Slc25a4 PE=1 SV=4"
"840","Q8K2P2","Protein FAM83A OS=Mus musculus OX=10090 GN=Fam83a PE=2 SV=2"
"841","O88342","WD repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Wdr1 PE=1 SV=3"
"842","Q7TNV0","Protein DEK OS=Mus musculus OX=10090 GN=Dek PE=1 SV=1"
"843","Q99ME2","WD repeat-containing protein 6 OS=Mus musculus OX=10090 GN=Wdr6 PE=1 SV=1"
"844","Q8C2E7","WASH complex subunit 5 OS=Mus musculus OX=10090 GN=Washc5 PE=1 SV=2"
"845","Q9EQ61","Pescadillo homolog OS=Mus musculus OX=10090 GN=Pes1 PE=1 SV=1"
"846","P68404","Protein kinase C beta type OS=Mus musculus OX=10090 GN=Prkcb PE=1 SV=4"
"847","P63028","Translationally-controlled tumor protein OS=Mus musculus OX=10090 GN=Tpt1 PE=1 SV=1"
"848","Q9JJN2","Zinc finger homeobox protein 4 OS=Mus musculus OX=10090 GN=Zfhx4 PE=1 SV=1"
"849","Q8BNX1","C-type lectin domain family 4 member G OS=Mus musculus OX=10090 GN=Clec4g PE=1 SV=1"
"850","Q9WTZ0","Protein UXT OS=Mus musculus OX=10090 GN=Uxt PE=1 SV=2"
"851","Q9CPY7","Cytosol aminopeptidase OS=Mus musculus OX=10090 GN=Lap3 PE=1 SV=3"
"852","P0DJE0","Protein PET100 homolog, mitochondrial OS=Mus musculus OX=10090 GN=Pet100 PE=1 SV=1"
"853","Q6P5E8","Diacylglycerol kinase theta OS=Mus musculus OX=10090 GN=Dgkq PE=1 SV=1"
"854","P35456","Urokinase plasminogen activator surface receptor OS=Mus musculus OX=10090 GN=Plaur PE=1 SV=1"
"855","Q8BND5","Sulfhydryl oxidase 1 OS=Mus musculus OX=10090 GN=Qsox1 PE=1 SV=1"
"856","Q0VFX2","Cilia- and flagella-associated protein 157 OS=Mus musculus OX=10090 GN=Cfap157 PE=1 SV=1"
"857","P62869","Elongin-B OS=Mus musculus OX=10090 GN=Elob PE=1 SV=1"
"858","O08663","Methionine aminopeptidase 2 OS=Mus musculus OX=10090 GN=Metap2 PE=1 SV=1"
"859","Q9D541","Coiled-coil domain-containing protein 7 OS=Mus musculus OX=10090 GN=Ccdc7 PE=2 SV=1"
"860","P11609","Antigen-presenting glycoprotein CD1d1 OS=Mus musculus OX=10090 GN=Cd1d1 PE=1 SV=3"
"861","P23492","Purine nucleoside phosphorylase OS=Mus musculus OX=10090 GN=Pnp PE=1 SV=2"
"862","Q922T2","Microfibril-associated glycoprotein 3 OS=Mus musculus OX=10090 GN=Mfap3 PE=2 SV=1"
"863","Q8K0D7","Tail-anchored protein insertion receptor WRB OS=Mus musculus OX=10090 GN=Wrb PE=1 SV=1"
"864","Q9JKX4","Protein AATF OS=Mus musculus OX=10090 GN=Aatf PE=1 SV=1"
"865","Q03963","Interferon-induced, double-stranded RNA-activated protein kinase OS=Mus musculus OX=10090 GN=Eif2ak2 PE=1 SV=2"
"866","Q6DFV1","Condensin-2 complex subunit G2 OS=Mus musculus OX=10090 GN=Ncapg2 PE=1 SV=2"
"867","Q9D1I2","Caspase recruitment domain-containing protein 19 OS=Mus musculus OX=10090 GN=Card19 PE=1 SV=1"
"868","Q6P5E6","ADP-ribosylation factor-binding protein GGA2 OS=Mus musculus OX=10090 GN=Gga2 PE=1 SV=1"
"869","Q8C5P7","Testis development-related protein OS=Mus musculus OX=10090 GN=Tdrp PE=1 SV=1"
"870","P11276","Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=4"
"871","Q14AT2","Testis-expressed protein 11 OS=Mus musculus OX=10090 GN=Tex11 PE=1 SV=1"
"872","Q3U0V1","Far upstream element-binding protein 2 OS=Mus musculus OX=10090 GN=Khsrp PE=1 SV=2"
"873","Q8VIJ6","Splicing factor, proline- and glutamine-rich OS=Mus musculus OX=10090 GN=Sfpq PE=1 SV=1"
"874","Q5HZI1","Microtubule-associated tumor suppressor 1 homolog OS=Mus musculus OX=10090 GN=Mtus1 PE=1 SV=2"
"875","Q9CX53","Gem-associated protein 6 OS=Mus musculus OX=10090 GN=Gemin6 PE=1 SV=2"
"876","Q6GYP7","Ral GTPase-activating protein subunit alpha-1 OS=Mus musculus OX=10090 GN=Ralgapa1 PE=1 SV=1"
"877","P57746","V-type proton ATPase subunit D OS=Mus musculus OX=10090 GN=Atp6v1d PE=1 SV=1"
"878","Q9D5V5","Cullin-5 OS=Mus musculus OX=10090 GN=Cul5 PE=1 SV=3"
"879","Q9Z103","Activity-dependent neuroprotector homeobox protein OS=Mus musculus OX=10090 GN=Adnp PE=1 SV=2"
"880","Q9CPU0","Lactoylglutathione lyase OS=Mus musculus OX=10090 GN=Glo1 PE=1 SV=3"
"881","Q8VBX6","Multiple PDZ domain protein OS=Mus musculus OX=10090 GN=Mpdz PE=1 SV=2"
"882","Q812E0","Cytoplasmic polyadenylation element-binding protein 2 OS=Mus musculus OX=10090 GN=Cpeb2 PE=1 SV=1"
"883","Q9DC23","DnaJ homolog subfamily C member 10 OS=Mus musculus OX=10090 GN=Dnajc10 PE=1 SV=2"
"884","Q63836","Selenium-binding protein 2 OS=Mus musculus OX=10090 GN=Selenbp2 PE=1 SV=2"
"885","Q78T54","Vacuolar ATPase assembly integral membrane protein Vma21 OS=Mus musculus OX=10090 GN=Vma21 PE=1 SV=1"
"886","P70303","CTP synthase 2 OS=Mus musculus OX=10090 GN=Ctps2 PE=1 SV=1"
"887","Q9CR56","NF-kappa-B inhibitor-interacting Ras-like protein 2 OS=Mus musculus OX=10090 GN=Nkiras2 PE=1 SV=1"
"888","Q91Z67","SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Srgap2 PE=1 SV=2"
"889","Q8BPG6","Inactive C-alpha-formylglycine-generating enzyme 2 OS=Mus musculus OX=10090 GN=Sumf2 PE=1 SV=2"
"890","Q9EQC5","N-terminal kinase-like protein OS=Mus musculus OX=10090 GN=Scyl1 PE=1 SV=1"
"891","Q9JM93","ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Mus musculus OX=10090 GN=Arl6ip4 PE=1 SV=1"
"892","Q9CX84","Regulator of G-protein signaling 19 OS=Mus musculus OX=10090 GN=Rgs19 PE=1 SV=1"
"893","Q9CQY2","RNA guanine-N7 methyltransferase activating subunit OS=Mus musculus OX=10090 GN=Ramac PE=3 SV=1"
"894","Q8K126","Peptide chain release factor 1, mitochondrial OS=Mus musculus OX=10090 GN=Mtrf1 PE=2 SV=1"
"895","Q91Z46","Dual specificity protein phosphatase 7 OS=Mus musculus OX=10090 GN=Dusp7 PE=1 SV=4"
"896","Q99J47","Dehydrogenase/reductase SDR family member 7B OS=Mus musculus OX=10090 GN=Dhrs7b PE=1 SV=1"
"897","P54099","DNA polymerase subunit gamma-1 OS=Mus musculus OX=10090 GN=Polg PE=1 SV=3"
"898","Q7TQK5","Coiled-coil domain-containing protein 93 OS=Mus musculus OX=10090 GN=Ccdc93 PE=1 SV=1"
"899","Q99NB8","Ubiquilin-4 OS=Mus musculus OX=10090 GN=Ubqln4 PE=1 SV=1"
"900","Q64012","RNA-binding protein Raly OS=Mus musculus OX=10090 GN=Raly PE=1 SV=3"
"901","Q99JX7","Nuclear RNA export factor 1 OS=Mus musculus OX=10090 GN=Nxf1 PE=1 SV=3"
"902","O35174","Potassium voltage-gated channel subfamily S member 2 OS=Mus musculus OX=10090 GN=Kcns2 PE=1 SV=1"
"903","Q8R003","Muscleblind-like protein 3 OS=Mus musculus OX=10090 GN=Mbnl3 PE=2 SV=1"
"904","Q9D4B2","Tetratricopeptide repeat protein 25 OS=Mus musculus OX=10090 GN=Ttc25 PE=1 SV=3"
"905","Q9DCH2","Ribonuclease P protein subunit p20 OS=Mus musculus OX=10090 GN=Pop7 PE=2 SV=1"
"906","Q8BMZ5","tRNA-splicing endonuclease subunit Sen34 OS=Mus musculus OX=10090 GN=Tsen34 PE=2 SV=2"
"907","Q9CXS4","Centromere protein V OS=Mus musculus OX=10090 GN=Cenpv PE=1 SV=2"
"908","P63323","40S ribosomal protein S12 OS=Mus musculus OX=10090 GN=Rps12 PE=1 SV=2"
"909","Q8BIX3","ARL14 effector protein OS=Mus musculus OX=10090 GN=Arl14ep PE=1 SV=1"
"910","Q3U1N2","Sterol regulatory element-binding protein 2 OS=Mus musculus OX=10090 GN=Srebf2 PE=1 SV=2"
"911","Q8CDJ8","Stonin-1 OS=Mus musculus OX=10090 GN=Ston1 PE=1 SV=2"
"912","P05017","Insulin-like growth factor I OS=Mus musculus OX=10090 GN=Igf1 PE=1 SV=2"
"913","P70124","Serpin B5 OS=Mus musculus OX=10090 GN=Serpinb5 PE=1 SV=1"
"914","Q8K3W3","Protein CASC3 OS=Mus musculus OX=10090 GN=Casc3 PE=1 SV=3"
"915","Q9JLZ3","Methylglutaconyl-CoA hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Auh PE=1 SV=1"
"916","P48774","Glutathione S-transferase Mu 5 OS=Mus musculus OX=10090 GN=Gstm5 PE=1 SV=1"
"917","Q91XL3","UDP-glucuronic acid decarboxylase 1 OS=Mus musculus OX=10090 GN=Uxs1 PE=1 SV=1"
"918","Q9JII5","DAZ-associated protein 1 OS=Mus musculus OX=10090 GN=Dazap1 PE=1 SV=2"
"919","Q9Z224","Molybdopterin synthase sulfur carrier subunit OS=Mus musculus OX=10090 GN=Mocs2 PE=1 SV=1"
"920","P60898","DNA-directed RNA polymerase II subunit RPB9 OS=Mus musculus OX=10090 GN=Polr2i PE=1 SV=1"
"921","Q9CQX8","28S ribosomal protein S36, mitochondrial OS=Mus musculus OX=10090 GN=Mrps36 PE=1 SV=1"
"922","Q9R049","E3 ubiquitin-protein ligase AMFR OS=Mus musculus OX=10090 GN=Amfr PE=1 SV=2"
"923","B2RPY5","G-protein coupled receptor 161 OS=Mus musculus OX=10090 GN=Gpr161 PE=1 SV=1"
"924","Q9D2Y4","Mixed lineage kinase domain-like protein OS=Mus musculus OX=10090 GN=Mlkl PE=1 SV=1"
"925","Q99PJ2","Probable E3 ubiquitin-protein ligase TRIM8 OS=Mus musculus OX=10090 GN=Trim8 PE=1 SV=3"
"926","Q9R1L5","Microtubule-associated serine/threonine-protein kinase 1 OS=Mus musculus OX=10090 GN=Mast1 PE=1 SV=3"
"927","A2AQ25","Sickle tail protein OS=Mus musculus OX=10090 GN=Skt PE=1 SV=1"
"928","Q8K2I1","Protein farnesyltransferase subunit beta OS=Mus musculus OX=10090 GN=Fntb PE=1 SV=1"
"929","Q9WVH4","Forkhead box protein O3 OS=Mus musculus OX=10090 GN=Foxo3 PE=1 SV=1"
"930","P51141","Segment polarity protein dishevelled homolog DVL-1 OS=Mus musculus OX=10090 GN=Dvl1 PE=1 SV=2"
"931","Q99L04","Dehydrogenase/reductase SDR family member 1 OS=Mus musculus OX=10090 GN=Dhrs1 PE=1 SV=1"
"932","Q9JM76","Actin-related protein 2/3 complex subunit 3 OS=Mus musculus OX=10090 GN=Arpc3 PE=1 SV=3"
"933","Q8BHG2","CXXC motif containing zinc binding protein OS=Mus musculus OX=10090 GN=Czib PE=1 SV=1"
"934","Q9DCC4","Pyrroline-5-carboxylate reductase 3 OS=Mus musculus OX=10090 GN=Pycr3 PE=1 SV=2"
"935","Q9JHU4","Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=2"
"936","Q8R123","FAD synthase OS=Mus musculus OX=10090 GN=Flad1 PE=1 SV=1"
"937","Q9R0G8","Nik-related protein kinase OS=Mus musculus OX=10090 GN=Nrk PE=1 SV=2"
"938","Q80UW5","Serine/threonine-protein kinase MRCK gamma OS=Mus musculus OX=10090 GN=Cdc42bpg PE=1 SV=2"
"939","P00493","Hypoxanthine-guanine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Hprt1 PE=1 SV=3"
"940","P11862","Growth arrest-specific protein 2 OS=Mus musculus OX=10090 GN=Gas2 PE=1 SV=1"
"941","Q8R1I1","Cytochrome b-c1 complex subunit 9 OS=Mus musculus OX=10090 GN=Uqcr10 PE=1 SV=1"
"942","Q3TP92","CTD nuclear envelope phosphatase 1 OS=Mus musculus OX=10090 GN=Ctdnep1 PE=1 SV=2"
"943","Q69ZJ7","RAB6A-GEF complex partner protein 1 OS=Mus musculus OX=10090 GN=Ric1 PE=1 SV=2"
"944","Q8BQ48","Centrosomal protein of 295 kDa OS=Mus musculus OX=10090 GN=Cep295 PE=1 SV=3"
"945","Q8CCF0","U4/U6 small nuclear ribonucleoprotein Prp31 OS=Mus musculus OX=10090 GN=Prpf31 PE=1 SV=3"
"946","P39054","Dynamin-2 OS=Mus musculus OX=10090 GN=Dnm2 PE=1 SV=2"
"947","Q9CPU4","Microsomal glutathione S-transferase 3 OS=Mus musculus OX=10090 GN=Mgst3 PE=1 SV=1"
"948","P70699","Lysosomal alpha-glucosidase OS=Mus musculus OX=10090 GN=Gaa PE=1 SV=2"
"949","Q62371","Discoidin domain-containing receptor 2 OS=Mus musculus OX=10090 GN=Ddr2 PE=1 SV=2"
"950","P27048","Small nuclear ribonucleoprotein-associated protein B OS=Mus musculus OX=10090 GN=Snrpb PE=1 SV=1"
"951","Q8K2H2","Deubiquitinase OTUD6B OS=Mus musculus OX=10090 GN=Otud6b PE=1 SV=1"
"952","Q9R1T2","SUMO-activating enzyme subunit 1 OS=Mus musculus OX=10090 GN=Sae1 PE=1 SV=1"
"953","P58252","Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2"
"954","O35621","Phosphomannomutase 1 OS=Mus musculus OX=10090 GN=Pmm1 PE=1 SV=1"
"955","Q91X97","Neurocalcin-delta OS=Mus musculus OX=10090 GN=Ncald PE=1 SV=4"
"956","P97313","DNA-dependent protein kinase catalytic subunit OS=Mus musculus OX=10090 GN=Prkdc PE=1 SV=3"
"957","Q8BFQ8","Glutamine amidotransferase-like class 1 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Gatd1 PE=1 SV=1"
"958","E9PW05","Zinc finger protein 54 OS=Mus musculus OX=10090 GN=Zfp54 PE=2 SV=1"
"959","Q5SWP3","NAC-alpha domain-containing protein 1 OS=Mus musculus OX=10090 GN=Nacad PE=1 SV=1"
"960","O88531","Palmitoyl-protein thioesterase 1 OS=Mus musculus OX=10090 GN=Ppt1 PE=1 SV=2"
"961","Q9D710","Thioredoxin-related transmembrane protein 2 OS=Mus musculus OX=10090 GN=Tmx2 PE=1 SV=1"
"962","Q9CQE8","RNA transcription, translation and transport factor protein OS=Mus musculus OX=10090 GN=RTRAF PE=1 SV=1"
"963","Q8R3Q0","Store-operated calcium entry-associated regulatory factor OS=Mus musculus OX=10090 GN=Saraf PE=1 SV=2"
"964","Q8R4X3","RNA-binding protein 12 OS=Mus musculus OX=10090 GN=Rbm12 PE=1 SV=3"
"965","Q8C181","Muscleblind-like protein 2 OS=Mus musculus OX=10090 GN=Mbnl2 PE=2 SV=2"
"966","Q01147","Cyclic AMP-responsive element-binding protein 1 OS=Mus musculus OX=10090 GN=Creb1 PE=1 SV=1"
"967","Q8BGW5","SOSS complex subunit B2 OS=Mus musculus OX=10090 GN=Nabp1 PE=2 SV=1"
"968","P03888","NADH-ubiquinone oxidoreductase chain 1 OS=Mus musculus OX=10090 GN=Mtnd1 PE=1 SV=3"
"969","Q99LD4","COP9 signalosome complex subunit 1 OS=Mus musculus OX=10090 GN=Gps1 PE=1 SV=1"
"970","Q91YR7","Pre-mRNA-processing factor 6 OS=Mus musculus OX=10090 GN=Prpf6 PE=1 SV=1"
"971","Q8CGF1","Rho GTPase-activating protein 29 OS=Mus musculus OX=10090 GN=Arhgap29 PE=1 SV=1"
"972","Q9JIS3","Single-pass membrane and coiled-coil domain-containing protein 4 OS=Mus musculus OX=10090 GN=Smco4 PE=3 SV=2"
"973","Q6GQS1","Calcium-binding mitochondrial carrier protein SCaMC-3 OS=Mus musculus OX=10090 GN=Slc25a23 PE=1 SV=1"
"974","Q8BZQ7","Anaphase-promoting complex subunit 2 OS=Mus musculus OX=10090 GN=Anapc2 PE=1 SV=2"
"975","P18406","CCN family member 1 OS=Mus musculus OX=10090 GN=Ccn1 PE=1 SV=1"
"976","Q9D428","Golgin subfamily A member 7B OS=Mus musculus OX=10090 GN=GOLGA7B PE=1 SV=1"
"977","B2RY56","RNA-binding protein 25 OS=Mus musculus OX=10090 GN=Rbm25 PE=1 SV=2"
"978","Q8BU33","Acetolactate synthase-like protein OS=Mus musculus OX=10090 GN=Ilvbl PE=1 SV=1"
"979","Q9JKV1","Proteasomal ubiquitin receptor ADRM1 OS=Mus musculus OX=10090 GN=Adrm1 PE=1 SV=2"
"980","Q6ZQ29","Serine/threonine-protein kinase TAO2 OS=Mus musculus OX=10090 GN=Taok2 PE=1 SV=3"
"981","O88822","Lathosterol oxidase OS=Mus musculus OX=10090 GN=Sc5d PE=2 SV=2"
"982","P06240","Proto-oncogene tyrosine-protein kinase LCK OS=Mus musculus OX=10090 GN=Lck PE=1 SV=4"
"983","Q9CR86","Calcium-regulated heat stable protein 1 OS=Mus musculus OX=10090 GN=Carhsp1 PE=1 SV=1"
"984","Q99PW4","EKC/KEOPS complex subunit Tp53rk OS=Mus musculus OX=10090 GN=Tp53rk PE=2 SV=1"
"985","Q7TPD2","Protein FAM185A OS=Mus musculus OX=10090 GN=Fam185a PE=2 SV=1"
"986","Q9QZ73","DCN1-like protein 1 OS=Mus musculus OX=10090 GN=Dcun1d1 PE=2 SV=1"
"987","Q8C1E7","Transmembrane protein 120A OS=Mus musculus OX=10090 GN=Tmem120a PE=1 SV=1"
"988","Q9R013","Cathepsin F OS=Mus musculus OX=10090 GN=Ctsf PE=1 SV=1"
"989","P50171","Estradiol 17-beta-dehydrogenase 8 OS=Mus musculus OX=10090 GN=Hsd17b8 PE=1 SV=2"
"990","P49586","Choline-phosphate cytidylyltransferase A OS=Mus musculus OX=10090 GN=Pcyt1a PE=1 SV=1"
"991","Q99JT5","Lysine-rich coiled-coil protein 1 OS=Mus musculus OX=10090 GN=Krcc1 PE=2 SV=1"
"992","Q6A058","Armadillo repeat-containing X-linked protein 2 OS=Mus musculus OX=10090 GN=Armcx2 PE=2 SV=2"
"993","Q9CRA9","FGFR1 oncogene partner 2 homolog OS=Mus musculus OX=10090 GN=Fgfr1op2 PE=1 SV=1"
"994","Q6XUX1","Dual serine/threonine and tyrosine protein kinase OS=Mus musculus OX=10090 GN=Dstyk PE=1 SV=1"
"995","Q6ZQ89","E3 ubiquitin-protein ligase MARCH6 OS=Mus musculus OX=10090 GN=March6 PE=2 SV=2"
"996","Q8CG64","Fukutin-related protein OS=Mus musculus OX=10090 GN=Fkrp PE=1 SV=1"
"997","Q8C878","NEDD8-activating enzyme E1 catalytic subunit OS=Mus musculus OX=10090 GN=Uba3 PE=1 SV=2"
"998","Q8K4E0","Alstrom syndrome protein 1 homolog OS=Mus musculus OX=10090 GN=Alms1 PE=1 SV=2"
"999","cRAP002","Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2"
"1000","P14206","40S ribosomal protein SA OS=Mus musculus OX=10090 GN=Rpsa PE=1 SV=4"
"1001","Q6T707","Acyl-CoA desaturase 4 OS=Mus musculus OX=10090 GN=Scd4 PE=1 SV=1"
"1002","Q9JKC8","AP-3 complex subunit mu-1 OS=Mus musculus OX=10090 GN=Ap3m1 PE=1 SV=1"
"1003","Q3V384","AFG1-like ATPase OS=Mus musculus OX=10090 GN=Afg1l PE=1 SV=1"
"1004","Q9CQM5","Thioredoxin domain-containing protein 17 OS=Mus musculus OX=10090 GN=Txndc17 PE=1 SV=1"
"1005","Q9R0Q9","Mannose-P-dolichol utilization defect 1 protein OS=Mus musculus OX=10090 GN=Mpdu1 PE=1 SV=1"
"1006","Q7TMM9","Tubulin beta-2A chain OS=Mus musculus OX=10090 GN=Tubb2a PE=1 SV=1"
"1007","Q3UIW5","RING finger protein 10 OS=Mus musculus OX=10090 GN=Rnf10 PE=2 SV=2"
"1008","Q8BH69","Selenide, water dikinase 1 OS=Mus musculus OX=10090 GN=Sephs1 PE=1 SV=1"
"1009","Q8BZF8","Phosphoglucomutase-like protein 5 OS=Mus musculus OX=10090 GN=Pgm5 PE=1 SV=2"
"1010","Q8R0H9","ADP-ribosylation factor-binding protein GGA1 OS=Mus musculus OX=10090 GN=Gga1 PE=1 SV=1"
"1011","Q9CWH6","Proteasome subunit alpha-type 7-like OS=Mus musculus OX=10090 GN=Psma8 PE=1 SV=1"
"1012","Q61245","Collagen alpha-1(XI) chain OS=Mus musculus OX=10090 GN=Col11a1 PE=1 SV=2"
"1013","Q6QD59","Vesicle transport protein SEC20 OS=Mus musculus OX=10090 GN=Bnip1 PE=1 SV=1"
"1014","Q3UHD6","Sorting nexin-27 OS=Mus musculus OX=10090 GN=Snx27 PE=1 SV=2"
"1015","P19426","Negative elongation factor E OS=Mus musculus OX=10090 GN=Nelfe PE=1 SV=2"
"1016","Q9Z1A9","TBC1 domain family member 8 OS=Mus musculus OX=10090 GN=Tbc1d8 PE=1 SV=2"
"1017","Q9JKN1","Zinc transporter 7 OS=Mus musculus OX=10090 GN=Slc30a7 PE=1 SV=1"
"1018","P10852","4F2 cell-surface antigen heavy chain OS=Mus musculus OX=10090 GN=Slc3a2 PE=1 SV=1"
"1019","Q9D081","UDP-N-acetylglucosamine transferase subunit ALG14 homolog OS=Mus musculus OX=10090 GN=Alg14 PE=1 SV=1"
"1020","Q8BHS3","Pre-mRNA-splicing factor RBM22 OS=Mus musculus OX=10090 GN=Rbm22 PE=1 SV=1"
"1021","Q60838","Segment polarity protein dishevelled homolog DVL-2 OS=Mus musculus OX=10090 GN=Dvl2 PE=1 SV=2"
"1022","Q8BY71","Histone acetyltransferase type B catalytic subunit OS=Mus musculus OX=10090 GN=Hat1 PE=1 SV=1"
"1023","Q61263","Sterol O-acyltransferase 1 OS=Mus musculus OX=10090 GN=Soat1 PE=1 SV=2"
"1024","Q8BVE3","V-type proton ATPase subunit H OS=Mus musculus OX=10090 GN=Atp6v1h PE=1 SV=1"
"1025","Q8CHG3","GRIP and coiled-coil domain-containing protein 2 OS=Mus musculus OX=10090 GN=Gcc2 PE=1 SV=2"
"1026","Q99P21","Adenine DNA glycosylase OS=Mus musculus OX=10090 GN=Mutyh PE=1 SV=2"
"1027","Q3TTY5","Keratin, type II cytoskeletal 2 epidermal OS=Mus musculus OX=10090 GN=Krt2 PE=1 SV=1"
"1028","Q6P1Y1","Retrotransposon Gag-like protein 3 OS=Mus musculus OX=10090 GN=Rtl3 PE=1 SV=1"
"1029","P56212","cAMP-regulated phosphoprotein 19 OS=Mus musculus OX=10090 GN=Arpp19 PE=1 SV=2"
"1030","Q80UN9","tRNA dimethylallyltransferase OS=Mus musculus OX=10090 GN=Trit1 PE=2 SV=2"
"1031","Q9Z2M6","Ubiquitin-like protein 3 OS=Mus musculus OX=10090 GN=Ubl3 PE=1 SV=1"
"1032","P35700","Peroxiredoxin-1 OS=Mus musculus OX=10090 GN=Prdx1 PE=1 SV=1"
"1033","E9Q1P8","Interferon regulatory factor 2-binding protein 2 OS=Mus musculus OX=10090 GN=Irf2bp2 PE=1 SV=1"
"1034","Q9R0P5","Destrin OS=Mus musculus OX=10090 GN=Dstn PE=1 SV=3"
"1035","Q9D7P9","Serpin B12 OS=Mus musculus OX=10090 GN=Serpinb12 PE=2 SV=1"
"1036","Q8VCH5","Rab9 effector protein with kelch motifs OS=Mus musculus OX=10090 GN=Rabepk PE=1 SV=2"
"1037","P62715","Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Mus musculus OX=10090 GN=Ppp2cb PE=1 SV=1"
"1038","Q9DBG5","Perilipin-3 OS=Mus musculus OX=10090 GN=Plin3 PE=1 SV=1"
"1039","Q3UFY0","Ribosomal RNA processing protein 36 homolog OS=Mus musculus OX=10090 GN=Rrp36 PE=1 SV=1"
"1040","P18155","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Mus musculus OX=10090 GN=Mthfd2 PE=1 SV=1"
"1041","Q3V1T4","Prolyl 3-hydroxylase 1 OS=Mus musculus OX=10090 GN=P3h1 PE=1 SV=2"
"1042","Q9WVL2","Signal transducer and activator of transcription 2 OS=Mus musculus OX=10090 GN=Stat2 PE=1 SV=1"
"1043","Q9D0M3","Cytochrome c1, heme protein, mitochondrial OS=Mus musculus OX=10090 GN=Cyc1 PE=1 SV=1"
"1044","Q9DCJ1","Target of rapamycin complex subunit LST8 OS=Mus musculus OX=10090 GN=Mlst8 PE=1 SV=1"
"1045","Q99KK7","Dipeptidyl peptidase 3 OS=Mus musculus OX=10090 GN=Dpp3 PE=1 SV=2"
"1046","Q8BXV2","BRI3-binding protein OS=Mus musculus OX=10090 GN=Bri3bp PE=1 SV=1"
"1047","Q9DBC3","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 OS=Mus musculus OX=10090 GN=Cmtr1 PE=1 SV=1"
"1048","Q80ZS3","28S ribosomal protein S26, mitochondrial OS=Mus musculus OX=10090 GN=Mrps26 PE=1 SV=1"
"1049","Q99KB8","Hydroxyacylglutathione hydrolase, mitochondrial OS=Mus musculus OX=10090 GN=Hagh PE=1 SV=2"
"1050","Q5SSZ5","Tensin-3 OS=Mus musculus OX=10090 GN=Tns3 PE=1 SV=1"
"1051","Q91XF4","E3 ubiquitin-protein ligase RNF167 OS=Mus musculus OX=10090 GN=Rnf167 PE=2 SV=1"
"1052","Q3SXD3","HD domain-containing protein 2 OS=Mus musculus OX=10090 GN=Hddc2 PE=1 SV=1"
"1053","Q9CPU2","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial OS=Mus musculus OX=10090 GN=Ndufb2 PE=1 SV=1"
"1054","Q8K083","Zinc finger protein 536 OS=Mus musculus OX=10090 GN=Znf536 PE=2 SV=1"
"1055","Q9CXA2","Trans-L-3-hydroxyproline dehydratase OS=Mus musculus OX=10090 GN=L3hypdh PE=1 SV=1"
"1056","Q9D1C3","Protein preY, mitochondrial OS=Mus musculus OX=10090 GN=Pyurf PE=1 SV=1"
"1057","Q8R516","E3 ubiquitin-protein ligase MIB2 OS=Mus musculus OX=10090 GN=Mib2 PE=1 SV=2"
"1058","O35625","Axin-1 OS=Mus musculus OX=10090 GN=Axin1 PE=1 SV=3"
"1059","Q9CX56","26S proteasome non-ATPase regulatory subunit 8 OS=Mus musculus OX=10090 GN=Psmd8 PE=1 SV=2"
"1060","Q9JIG8","PRA1 family protein 2 OS=Mus musculus OX=10090 GN=Praf2 PE=1 SV=1"
"1061","Q61548","Clathrin coat assembly protein AP180 OS=Mus musculus OX=10090 GN=Snap91 PE=1 SV=1"
"1062","Q8BMF3","NADP-dependent malic enzyme, mitochondrial OS=Mus musculus OX=10090 GN=Me3 PE=1 SV=2"
"1063","Q6PAC4","Photoreceptor cilium actin regulator OS=Mus musculus OX=10090 GN=Pcare PE=2 SV=1"
"1064","Q9DCU6","39S ribosomal protein L4, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl4 PE=1 SV=1"
"1065","Q8VBZ0","Dehydrogenase/reductase SDR family member on chromosome X homolog OS=Mus musculus OX=10090 GN=Dhrsx PE=1 SV=2"
"1066","Q6P5F9","Exportin-1 OS=Mus musculus OX=10090 GN=Xpo1 PE=1 SV=1"
"1067","Q8JZS7","3-hydroxymethyl-3-methylglutaryl-CoA lyase, cytoplasmic OS=Mus musculus OX=10090 GN=Hmgcll1 PE=2 SV=1"
